"","prim_state","area_name","tot_emp","emp_prse","jobs_1000","loc_quotient","mor","high_emp","low_emp"
"1","OH","Springfield, OH",NA,NA,"**","**",NA,NA,NA
"2","WA","Mount Vernon-Anacortes, WA",NA,NA,"**","**",NA,NA,NA
"3","PR","Aguadilla-Isabela-San Sebastian, PR",160,4.4,"3.727","3.62",21.452108012881,194.32337282061,125.67662717939
"4","PR","Ponce, PR",180,3.6,"3.434","3.34",20.9313885606399,217.676499409152,142.323500590848
"5","PR","San German-Cabo Rojo, PR",50,0.2,"2.679","2.6",27.3438247019948,63.6719123509974,36.3280876490026
"6","PR","Mayaguez, PR",80,1.4,"2.563","2.49",24.7898427177849,99.831874174228,60.1681258257721
"7","KY","Owensboro, KY",100,34,"2.099","2.04",23.6622187429873,123.662218742987,76.3377812570127
"8","NY","Nassau-Suffolk, NY Metropolitan Division",2530,6.6,"2.05","1.99",12.0593210599902,2835.10082281775,2224.89917718225
"9","MD","Bethesda-Rockville-Frederick, MD Metropolitan Division",1140,19.1,"2.036","1.98",14.2414341955328,1302.35234982907,977.647650170926
"10","CT","New Haven, CT",550,9,"2.01","1.95",16.5803549007158,641.191951953937,458.808048046063
"11","MA","Haverhill-North Andover-Amesbury, MA-NH NECTA Division",160,6,"1.985","1.93",21.452108012881,194.32337282061,125.67662717939
"12","FL","Tallahassee, FL",310,3,"1.975","1.92",18.6871393548438,367.930132000016,252.069867999984
"13","NC","Durham-Chapel Hill, NC",540,1.7,"1.962","1.91",16.643949051492,629.877324878057,450.122675121943
"14","NY","Ithaca, NY",100,33.7,"1.954","1.9",23.6622187429873,123.662218742987,76.3377812570127
"15","DE","Dover, DE",120,42.6,"1.952","1.9",22.7790656147943,147.334878737753,92.6651212622468
"16","MO","St. Joseph, MO-KS",100,12.6,"1.942","1.89",23.6622187429873,123.662218742987,76.3377812570127
"17","FL","Gainesville, FL",220,9.1,"1.805","1.75",20.073168268061,264.160970189734,175.839029810266
"18","NY","Poughkeepsie-Newburgh-Middletown, NY",440,10.3,"1.802","1.75",17.3704923725978,516.43016643943,363.56983356057
"19","IA","Iowa City, IA",160,45.5,"1.792","1.74",21.452108012881,194.32337282061,125.67662717939
"20","KS","Lawrence, KS",80,11.7,"1.754","1.7",24.7898427177849,99.831874174228,60.1681258257721
"21","MA","Worcester, MA-CT",420,6.9,"1.73","1.68",17.5399017017959,493.667587147543,346.332412852457
"22","ND","Grand Forks, ND-MN",90,2.8,"1.716","1.67",24.1881044963757,111.769294046738,68.2307059532618
"23","IN","Anderson, IN",60,15.4,"1.7","1.65",26.3232617283944,75.7939570370366,44.2060429629634
"24","KS","Manhattan, KS",80,7.4,"1.68","1.63",24.7898427177849,99.831874174228,60.1681258257721
"25","MA","Springfield, MA-CT",480,9.1,"1.67","1.62",17.0580079663181,561.878438238327,398.121561761673
"26","FL","Ocala, FL",150,40.7,"1.667","1.62",21.7429065393556,182.614359809033,117.385640190967
"27","AL","Auburn-Opelika, AL",80,6.7,"1.658","1.61",24.7898427177849,99.831874174228,60.1681258257721
"28","CA","Madera-Chowchilla, CA",60,30.1,"1.655","1.61",26.3232617283944,75.7939570370366,44.2060429629634
"29","OH","Dayton, OH",610,29.7,"1.652","1.6",16.226032460685,708.978798010178,511.021201989822
"30","SC","Sumter, SC",60,17,"1.644","1.6",26.3232617283944,75.7939570370366,44.2060429629634
"31","WI","Sheboygan, WI",90,16.8,"1.613","1.57",24.1881044963757,111.769294046738,68.2307059532618
"32","OK","Lawton, OK",70,23.4,"1.612","1.57",25.4901630560547,87.8431141392383,52.1568858607617
"33","IL","Bloomington-Normal, IL",140,9.6,"1.608","1.56",22.0581363653482,170.881390911488,109.118609088512
"34","NY","Kingston, NY",90,8.1,"1.607","1.56",24.1881044963757,111.769294046738,68.2307059532618
"35","KS","Topeka, KS",170,10,"1.604","1.56",21.1824883649268,206.010230220376,133.989769779624
"36","KY","Bowling Green, KY",90,6.8,"1.58","1.53",24.1881044963757,111.769294046738,68.2307059532618
